term,coefficient,std_error,t_stat,p_value,ci_lower,ci_upper
地区_扬州市,0.9647402482880333,1.1209558559902386e-12,860640714023.2954,0.0,0.9647402482858356,0.964740248290231
地区_承德市,0.1742857764754286,1.0481322360859808e-12,166282240422.50668,0.0,0.17428577647337373,0.17428577647748345
地区_抚州市,-0.18297717150476783,9.541411676220884e-13,-191771592835.45404,0.0,-0.18297717150663842,-0.18297717150289725
地区_抚顺市,0.48730766072044374,1.0309399563235722e-12,472682873266.67224,0.0,0.4873076607184226,0.4873076607224649
地区_揭阳市,-0.13848203771208167,9.838186894543259e-13,-140759714362.5017,0.0,-0.13848203771401046,-0.13848203771015288
地区_攀枝花市,0.8191707835485045,1.2188017340503255e-12,672111599994.3927,0.0,0.8191707835461151,0.8191707835508939
地区_新乡市,0.08644816454802874,1.3448580362806064e-12,64280513047.39441,0.0,0.08644816454539214,0.08644816455066534
地区_新余市,0.8070009895053465,0.014695894395188333,54.91336340641991,0.0,0.7781896672323583,0.8358123117783347
地区_无锡市,1.5704432208696337,0.016328771550025645,96.17644634554075,0.0,1.5384306405666734,1.602455801172594
地区_日照市,0.5745773876419253,9.868356088370344e-13,582242252404.1802,0.0,0.5745773876399907,0.57457738764386
地区_昆明市,0.6015737757968089,9.978396743422399e-13,602876184687.0409,0.0,0.6015737757948527,0.6015737757987651
地区_昭通市,-0.9048289130710591,1.0349812105431314e-12,-874246705016.2468,0.0,-0.9048289130730881,-0.90482891306903
地区_晋中市,0.09592409694933123,8.960977741481819e-13,107046462692.66246,0.0,0.09592409694757442,0.09592409695108803
地区_晋城市,0.4056773905318769,0.014695894395159377,27.6048112230244,7.033718384416195e-155,0.3768660682589454,0.4344887128048084
地区_景德镇市,0.33017528758382325,1.044962434809884e-12,315968571294.99963,0.0,0.3301752875817746,0.3301752875858719
地区_曲靖市,-0.09115875468482985,1.032612356605194e-12,-88279744186.40742,0.0,-0.09115875468685429,-0.09115875468280542
地区_朔州市,0.5520855398744591,1.0669849366705406e-12,517425805088.87714,0.0,0.5520855398723673,0.5520855398765508
地区_朝阳市,-0.17463785059252931,1.1033108870478428e-12,-158285259977.64084,0.0,-0.17463785059469236,-0.17463785059036627
地区_本溪市,0.6689432368561502,7.867108663588648e-13,850303797063.6167,0.0,0.6689432368546079,0.6689432368576925
地区_来宾市,-0.2159873738001292,1.2192241336457221e-12,-177151491542.6453,0.0,-0.21598737380251948,-0.2159873737977389
地区_杭州市,1.31985468022999,8.814590975927025e-13,1497352156026.9353,0.0,1.3198546802282618,1.3198546802317181
地区_松原市,0.3892758874339523,1.2392937510744117e-12,314111071000.2916,0.0,0.3892758874315227,0.3892758874363819
地区_枣庄市,0.4746721492101184,1.2108928564567488e-12,392001775119.12915,0.0,0.4746721492077445,0.47467214921249234
地区_柳州市,0.5322912879677206,0.01469589439523467,36.22040779908726,9.400367332903953e-252,0.5034799656946416,0.5611026102407997
地区_株洲市,0.5125025694807448,0.016328771550257096,31.3864743531595,2.2600403163767452e-195,0.48048998917733077,0.5445151497841588
地区_桂林市,0.08009511065312491,0.014695894395176996,5.450169176461359,5.306349921389932e-08,0.051283788380158915,0.10890643292609091
地区_梅州市,-0.3537915734676009,1.2817304774104737e-12,-276026496758.0226,0.0,-0.3537915734701137,-0.35379157346508805
地区_梧州市,-0.059003717758332776,1.2518357053888832e-12,-47133755255.84905,0.0,-0.059003717760787,-0.05900371775587855
地区_榆林市,0.8429641723639164,1.150989686556477e-12,732382038005.8232,0.0,0.8429641723616599,0.8429641723661729
地区_武威市,-0.3440674052510945,1.3084915106345699e-12,-262949665668.2431,0.0,-0.3440674052536598,-0.34406740524852925
地区_武汉市,1.10925546550894,0.016328771550270356,67.93257301040346,0.0,1.0772428852054998,1.14126804581238
地区_永州市,-0.23093902363420715,1.2680472077991964e-12,-182121787117.86404,0.0,-0.23093902363669316,-0.23093902363172114
地区_汉中市,-0.17392206963875578,0.01306301724023568,-13.314080999836293,1.1062499901390664e-39,-0.19953213388154584,-0.14831200539596573
地区_汕头市,0.13769951988724907,1.0727279274717908e-12,128363880869.383,0.0,0.13769951988514598,0.13769951988935217
地区_汕尾市,-0.20938233768156264,1.3316118493166413e-12,-157239767571.16858,0.0,-0.20938233768417328,-0.209382337678952
地区_江门市,0.5548159094423245,1.0581838704530403e-12,524309550479.9096,0.0,0.5548159094402499,0.5548159094443991
地区_池州市,0.11632352716805743,7.74393427019653e-13,150212441259.6613,0.0,0.11632352716653922,0.11632352716957563
地区_沈阳市,0.9662936154542896,1.4108173118455542e-12,684917605802.7223,0.0,0.9662936154515237,0.9662936154570555
地区_沧州市,0.3570740082693212,1.3583443677761275e-12,262874435040.29868,0.0,0.35707400826665814,0.3570740082719842
地区_河池市,-0.5288395040168333,1.2250266840282597e-12,-431696313975.66656,0.0,-0.528839504019235,-0.5288395040144317
地区_河源市,-0.17870897405241765,9.802202869637862e-13,-182315114703.41562,0.0,-0.17870897405433936,-0.17870897405049593
地区_泉州市,0.8475011580072263,0.013063017240167311,64.87790243445866,0.0,0.8218910937645703,0.8731112222498822
